query_idx,n_docs,spearman_r,spearman_p,pearson_r,pearson_p
183,4000,-0.08179181268006709,2.218475107671779e-07,-0.2453928428169166,6.180095564946288e-56
184,4000,-0.32845717321972656,2.9904983477305225e-101,-0.571418548667147,0.0
185,4000,-0.23822753013763645,9.978052313564946e-53,-0.4624526575872513,3.4442743557171217e-211
186,4000,-0.13624578258167028,4.9450897262189144e-18,-0.3153445239673863,4.676610653475232e-93
187,4000,-0.15053313007747646,1.0468872839333382e-21,-0.2829043238172723,1.6868903250907244e-74
188,4000,-0.26337879580309537,1.8441140684624586e-64,-0.3619166442524778,4.555386821598315e-124
189,4000,-0.146986209713365,9.266442305150541e-21,-0.3087646170862327,4.254651083366594e-89
190,4000,-0.16407260674618798,1.5531750575933485e-25,-0.43134552354872335,5.507979878883311e-181
191,4000,-0.2352886653061058,1.9242390319104878e-51,-0.3897397198268968,3.0082411337862885e-145
192,4000,-0.08612902621649349,4.877603830354537e-08,-0.3022727550111263,2.731521871560159e-85
193,4000,-0.13390818140889302,1.8194369840304165e-17,-0.4510124200818284,1.0290663752524134e-199
194,4000,-0.20345003115801122,1.2319370006026207e-38,-0.3998721715216827,1.7316560473326861e-153
195,4000,-0.078659903516793,6.323912855709305e-07,-0.38530685351408334,9.84163992413167e-142
196,4000,-0.2607244312303525,3.689379169285948e-63,-0.39592686964592694,3.0283972725234046e-150
197,4000,-0.18684705085238493,9.461932853676517e-33,-0.4841277434252891,3.6188947867131517e-234
198,4000,-0.13871024090162865,1.2217204911915543e-18,-0.3005018041727982,2.872600964661056e-84
199,4000,-0.21993575543598107,5.161575617144978e-45,-0.46094965592841025,1.1744325152413387e-209
